t,x_meters,y_meters
0.0000,6.3265,0.1588
0.0333,8.7749,17.6483
0.4333,2.1937,12.6283
0.4667,2.1937,12.6283
0.5000,28.0418,7.6226
0.5667,17.7552,10.2620
0.6000,17.7608,10.2692
0.6333,17.7634,10.2604
0.6667,17.7716,10.2620
0.7000,7.4028,6.4579
0.7333,7.3863,6.4661
0.8333,8.7338,16.5885
0.9000,7.7377,8.5990
0.9333,3.2783,0.0164
0.9667,6.4222,0.6467
1.0000,7.3699,0.0000
1.0333,7.8300,0.1315
1.0667,3.4885,0.0757
1.1000,10.7550,16.7364
1.1333,7.5014,6.8441
1.1667,8.7420,1.4296
1.2000,8.7995,1.4795
1.2333,8.8488,1.5118
1.2667,8.8488,1.5118
1.3000,8.6722,16.2762
1.3333,9.0554,1.6311
1.3667,7.1809,8.0272
1.4000,6.5164,8.0736
1.4333,8.6927,16.3009
1.4667,9.9104,6.7814
1.5000,0.0000,13.2856
1.5333,0.0000,13.2856
1.5667,0.0164,13.2839
1.6000,9.2350,8.2244
1.6333,8.5366,1.7313
1.6667,8.7009,1.6679
1.7000,8.7009,1.6679
1.7333,30.0000,12.9268
1.7667,15.1178,3.4261
1.8000,9.8348,0.6031
1.8333,9.6646,1.2066
1.8667,9.6646,1.2066
1.9000,10.0977,1.0024
1.9333,10.3277,0.9284
1.9667,10.5496,0.8298
2.0000,10.7139,0.7312
2.0333,10.8454,0.6080
2.0667,8.8324,17.1425
2.1000,17.0157,0.0329
2.1333,12.5790,4.3020
2.4667,13.3102,4.5791
2.5000,13.3020,4.5435
2.5333,13.3020,4.5271
2.5667,13.2691,4.5189
2.6000,13.2198,4.5271
2.9000,12.7679,3.2766
2.9333,12.6581,3.4473
2.9667,12.6581,3.4473
3.0000,12.6581,3.4473
3.0333,12.6581,3.4473
3.0667,11.9664,4.1282
3.1000,11.7447,4.2933
3.1333,11.5109,4.4567
3.1667,11.2758,4.6383
3.2000,11.0559,4.7715
3.2333,8.6270,3.3933
3.4667,9.7978,5.1269
3.5000,9.7978,5.1269
3.5333,9.5026,5.2035
3.5667,8.9392,4.5025
3.6000,8.9392,4.5025
3.6333,8.9392,4.5025
3.6667,6.4908,0.1397
3.7000,9.5965,5.8992
3.7333,9.5965,5.8992
3.7667,9.5965,5.8992
3.8333,8.4709,4.2313
3.8667,8.4709,4.2313
3.9000,8.4709,4.2313
3.9333,8.4955,4.2888
3.9667,8.4955,4.2888
4.0000,8.4955,4.2888
4.0333,8.5260,4.4778
4.0667,8.5202,4.5682
4.1000,8.5202,4.5682
4.1333,8.4462,4.7325
4.1667,8.4462,4.7325
4.2000,8.3723,4.8640
4.2333,7.5014,0.2629
4.2667,7.5014,0.2629
4.3000,7.5014,0.2629
4.3333,8.2655,5.0940
4.3667,8.2655,5.0940
4.4000,8.2162,5.1844
4.4333,8.2162,5.1844
4.4667,8.2162,5.1844
4.5000,8.1997,5.2419
4.5333,8.1997,5.2419
