t,x_meters,y_meters
0.0333,16.9035,1.2577
0.4000,2.4394,12.7717
0.4333,14.1176,9.6454
0.7667,12.9950,13.6746
0.8000,23.7700,4.7088
0.8333,4.2549,10.0940
0.8667,23.7700,4.7088
0.9000,4.2549,10.0940
0.9333,4.2479,10.0940
0.9667,4.2479,10.0940
1.0000,4.2479,10.0940
1.0333,12.3195,10.3080
1.0667,12.3195,10.3080
1.1000,12.3195,10.3080
1.1333,12.3195,10.3080
1.1667,12.3195,10.3080
1.2000,21.9204,2.0679
1.2333,21.9204,2.0679
1.2667,0.0000,11.6502
1.3000,17.9589,8.0378
1.3333,18.5197,4.3367
1.3667,5.6919,1.5071
1.4000,6.2387,14.2999
1.4333,6.5050,12.7928
1.4667,7.6266,7.8018
1.5000,7.6266,7.8018
1.5333,7.6266,7.8018
1.5667,21.9825,1.0515
1.6000,7.6406,7.8018
1.6333,20.5736,0.8131
1.6667,20.5736,0.8131
1.7000,20.5736,0.8131
1.7333,17.1178,10.6478
1.7667,17.1178,10.6478
1.8000,18.8281,2.9207
1.8333,20.9030,0.0000
1.8667,21.4708,0.9463
1.9000,20.9030,0.0000
1.9333,20.9030,0.0000
1.9667,12.0287,6.6663
2.0000,12.0287,6.6663
2.0333,22.1437,0.4837
2.0667,22.2335,2.2765
2.1000,22.2335,2.2765
2.1333,8.9584,2.8506
2.1667,22.2335,2.2765
2.2000,22.2335,2.2765
2.2333,12.2767,1.7839
2.2667,12.2767,1.7839
2.3000,12.2767,1.7839
2.3333,8.6991,2.5515
2.3667,8.6991,2.5515
2.4000,22.2349,2.2641
2.4333,22.2349,2.2641
2.4667,22.2349,2.2641
2.5000,22.2349,2.2641
2.5333,6.5471,3.0749
2.5667,8.5799,3.8799
2.6000,12.3792,2.3740
2.6333,12.3792,2.3740
2.6667,12.9313,6.2225
2.7000,10.9212,2.3938
2.7333,5.5711,1.1054
2.7667,5.5711,1.1054
2.8000,5.1451,12.7367
2.8333,15.4454,0.3044
2.8667,7.5635,12.0637
2.9000,15.4454,0.3044
2.9333,15.4454,0.3044
2.9667,8.3977,1.9534
3.0000,15.4454,0.3044
3.0333,15.4454,0.3044
3.0667,8.9584,1.1402
3.1000,15.4454,0.3044
3.1333,7.5845,0.6729
3.1667,12.4002,0.8271
3.2000,10.4866,1.9908
3.2333,8.0245,2.8999
3.2667,12.4002,0.8412
3.3000,12.4002,0.8412
3.3333,9.1968,4.3846
3.3667,8.6694,7.5964
3.4000,15.8280,12.7484
3.4333,15.8280,12.7484
3.4667,17.7066,0.6659
3.5000,11.4453,7.0076
3.5333,15.8280,12.7484
3.5667,15.8280,12.7484
3.6000,8.6694,7.5964
3.6333,8.6694,7.5964
3.6667,8.6694,7.5964
3.7000,4.7486,7.2020
3.7333,4.8982,7.0917
3.7667,4.9028,7.0898
3.8000,8.6694,7.5964
3.8333,8.6694,7.5964
3.8667,15.8922,14.7006
3.9000,8.6694,7.5964
3.9333,6.5878,12.7771
3.9667,15.8993,14.7077
4.0000,3.5329,0.4486
4.0333,3.5329,0.4486
4.0667,15.0499,0.3785
4.1000,6.6592,14.5989
4.1333,15.0499,0.3785
4.1667,3.5329,0.4486
4.2000,3.5329,0.4486
4.2333,3.5329,0.4486
4.2667,7.4217,14.3958
4.3000,3.5329,0.4486
