t,x_meters,y_meters
0.0333,0.0000,1.6931
0.0667,23.1519,0.1209
0.1000,21.9359,2.1992
0.1333,23.2527,0.3298
0.1667,21.4588,3.1465
0.2000,21.2035,3.5966
0.2333,20.9724,4.0508
0.2667,23.4878,1.7692
0.3000,20.4854,4.8833
0.3333,20.2562,5.2400
0.3667,23.3535,0.8824
0.4000,19.8153,5.9877
0.4333,22.5136,1.9573
0.4667,19.3560,6.6132
0.5000,23.1519,0.9361
0.5333,18.9125,7.2112
0.5667,18.6774,7.4934
0.6000,23.0713,0.8118
0.6333,18.2407,7.9771
0.6667,9.9971,5.7398
0.7000,23.7700,0.2105
0.7333,23.1250,1.4333
0.7667,17.3874,8.7699
0.8000,0.4300,0.7614
0.8333,23.2997,0.7659
0.8667,16.7388,9.1962
0.9000,23.5377,1.7116
0.9333,16.3367,9.4121
0.9667,23.3938,1.6393
1.0000,15.9161,9.5694
1.0333,15.7078,9.6394
1.0667,23.5953,2.0424
1.1000,23.6356,2.0245
1.1333,15.1099,9.7440
1.1667,2.5396,0.0000
1.2000,14.6820,9.7187
1.2333,14.4716,9.6970
1.2667,2.5851,0.0069
1.3000,20.1017,0.9406
1.3333,23.6491,1.8196
1.3667,23.6423,1.8297
1.4000,13.4631,9.3385
1.4333,13.2816,9.2460
1.4667,13.0675,9.1125
1.5000,23.2191,1.1511
1.5333,12.6778,8.8572
1.5667,12.5025,8.6611
1.6000,23.3548,0.6500
1.6333,20.1286,0.9272
1.6667,23.3535,0.6248
1.7000,11.7015,7.8687
1.7333,3.6616,0.0291
1.7667,3.6549,0.0358
1.8000,11.1108,7.1479
1.8333,10.9175,6.8685
1.8667,7.9614,4.8530
1.9000,23.4005,1.6550
1.9333,10.3296,5.9567
1.9667,3.5406,0.0291
2.0000,3.5406,0.0291
2.0333,9.7726,4.9285
2.0667,9.5470,4.5574
2.1000,9.3679,4.1712
2.1333,10.8504,6.4117
2.1667,8.9924,3.3713
2.2000,8.7878,2.9302
2.2333,8.5955,2.4846
2.2667,9.9770,5.7180
2.3000,9.9770,5.7180
2.3333,7.9779,1.1071
2.3667,9.9770,5.7180
2.4000,7.5971,0.0741
2.4333,9.9770,5.7180
2.4667,3.7691,1.3527
